순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
111,2018147460,태성전기통신(주),이덕우,분석,61044434,85.0,89.781,90.089,-0.1224 (99.8776),3 4,2022/09/29 12:49:12,
112,2128197392,금수티아이주식회사,이형주,분석,61045620,85.0,89.783,90.09,-0.1204 (99.8796),6 11,2022/09/29 08:53:48,
113,2148860959,(주)가온글로벌,최병억,분석,61046345,85.0,89.784,90.092,-0.1193 (99.8807),9 8,2022/09/27 13:28:13,
114,2098132812,주식회사 피치테크,이현철,분석,61046821,85.0,89.785,90.092,-0.1185 (99.8815),4 9,2022/09/29 09:12:17,
115,2108156959,두레에스텍 주식회사,유의근,분석,61046903,85.0,89.785,90.092,-0.1183 (99.8817),2 3,2022/09/29 11:00:20,
116,1098613335,주식회사 스마트씨앤아이,임요웅,분석,61047300,85.0,89.786,90.093,-0.1177 (99.8823),6 1,2022/09/29 15:03:54,
117,2140562973,대산정보통신공사,오도균,분석,61047698,85.0,89.786,90.094,-0.1170 (99.883),13 9,2022/09/28 14:16:48,
118,1128152663,한국아이디정보(주),송찬호,분석,61048920,85.0,89.788,90.095,-0.1150 (99.885),12 11,2022/09/28 10:59:45,
119,1208793560,주식회사 아이페이지온,김영환,분석,61049950,85.0,89.79,90.097,-0.1134 (99.8866),8 12,2022/09/28 11:30:26,
120,1018663767,비케이전기통신 주식회사,유봉근,분석,61050325,85.0,89.791,90.097,-0.1127 (99.8873),9 1,2022/09/28 16:40:40,
121,1198125041,옥성정보통신(주),황석,분석,61050510,85.0,89.791,90.098,-0.1124 (99.8876),5 13,2022/09/28 09:51:57,
122,2048140753,(주)청효이씨이,이범석,분석,61051059,85.0,89.792,90.098,-0.1115 (99.8885),14 5,2022/09/28 11:06:19,
123,7288700415,주식회사 티엑스텍,박영기,분석,61051670,85.0,89.793,90.099,-0.1105 (99.8895),12 3,2022/09/29 23:25:58,
124,2037666794,금성텔레콤,정용상,분석,61051740,85.0,89.793,90.099,-0.1104 (99.8896),11 15,2022/09/28 14:59:43,
125,8028800189,주식회사 아이앤서브,박광열,분석,61053630,85.0,89.796,90.102,-0.1073 (99.8927),9 14,2022/09/29 00:39:54,
126,1238135136,(주)청남통신,최재언,분석,61053900,85.0,89.796,90.103,-0.1069 (99.8931),14 13,2022/09/26 09:11:10,
127,2038150734,극동음향 주식회사,김상헌,분석,61055900,85.0,89.799,90.106,-0.1036 (99.8964),13 4,2022/09/26 11:06:12,
128,1078640952,(주)바비젼,이주일,분석,61056630,85.0,89.8,90.107,-0.1024 (99.8976),15 5,2022/09/28 10:26:46,
129,3958800527,주식회사 에스에이치아이티,정태순,분석,61057415,85.0,89.802,90.108,-0.1011 (99.8989),8 2,2022/09/28 15:42:26,
130,2298139274,(주)영풍전력설비,심문수,분석,61057450,85.0,89.802,90.108,-0.1011 (99.8989),14 8,2022/09/29 09:55:54,
131,1198656229,주식회사 경진네트워크,이준기,분석,61057820,85.0,89.802,90.108,-0.1005 (99.8995),12 13,2022/09/29 17:19:30,
132,2098133747,(주)한국에스알테크,이재호,분석,61058454,85.0,89.803,90.109,-0.0994 (99.9006),7 5,2022/09/29 17:56:01,
133,1058676906,(주)디엠씨정보,윤성인,분석,61060500,85.0,89.807,90.112,-0.0961 (99.9039),12 1,2022/09/29 17:40:44,
134,6218602134,(주)플러스전력,이하일,분석,61062570,85.0,89.81,90.115,-0.0927 (99.9073),15 12,2022/09/23 16:07:57,
135,1068683638,주식회사 엔씨씨디지탈,이상호,분석,61063038,85.0,89.811,90.116,-0.0919 (99.9081),6 2,2022/09/27 17:45:41,
136,1058746506,(주)파워일렉,이정림,분석,61063230,85.0,89.811,90.116,-0.0916 (99.9084),6 4,2022/09/29 15:57:17,
137,1198153402,고현건설(주),이화선,분석,61063490,85.0,89.811,90.117,-0.0912 (99.9088),14 1,2022/09/27 13:46:05,
138,2188117533,이피코리아(주),배문찬,분석,61066530,85.0,89.816,90.121,-0.0862 (99.9138),8 4,2022/09/29 09:18:15,
139,1138635212,(주)아이제이일렉트론,김도형,분석,61070678,85.0,89.823,90.127,-0.0794 (99.9206),13 15,2022/09/29 17:07:20,
140,1078662029,주식회사 아이티트레인,주영일,분석,61070740,85.0,89.823,90.128,-0.0793 (99.9207),3 5,2022/09/28 15:04:33,
