순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-219,1138677788,(주)제이에스지테크,박혜경,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-220,1248629817,(주)씨엠네트웍스,정숙자,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-221,2158102574,株式會社 基電社,김민호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-222,1278189667,제우일렉스주식회사,김승환,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-223,6078135430,주식회사 조은시스템,배정훈,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-224,1258164205,주현전기(주),차광신,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-225,1238140959,경인엔지니어링(주),정재원,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-226,1348182624,(주)이앤에스알앤디,이봉희,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-227,1278169899,주식회사 케이텔,김용기,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-228,2298129403,(주)태화시스템,윤영노,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-229,1118129252,광원전설(주),김영선,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-230,8428700706,주식회사 퍼스트텍,양영선,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-231,2018199051,나루씨앤씨주식회사,이상협,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-232,2048620126,(주)상부사종합건설,이상만,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-233,1078738017,(주)애린테크,박을순,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-234,1388181122,주식회사우리시스템,박동환,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-235,1238170977,(주)윈윈텔레콤,정승훈,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-236,2158727392,매컴정보통신(주),장병호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
