순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
96,1068619761,(주) 한걸음정보통신,정진원,분석,377896300,78.0,88.098,88.645,0.19549 (100.19549),4 8,2023/05/22 08:06:08,
97,5568600996,주영전자통신 주식회사,임채열,분석,377901540,78.0,88.099,88.646,0.19689 (100.19689),6 11,2023/05/22 08:31:40,
98,1288141176,주식회사 와이씨스템,장영찬,분석,377906783,78.0,88.101,88.647,0.19830 (100.1983),2 11,2023/05/22 11:06:01,
99,6118700363,주식회사 서경산업,이대규,분석,377911270,78.0,88.102,88.649,0.19949 (100.19949),13 10,2023/05/23 00:59:03,
100,2078152132,(주)홍남테크,김홍길,분석,377928470,77.8,88.106,88.653,0.20409 (100.20409),13 11,2023/05/23 09:32:50,
101,2208798467,주식회사 태산이에이지,최홍석,분석,377929600,77.8,88.106,88.653,0.20440 (100.2044),14 2,2023/05/18 14:33:20,
102,1058619564,주식회사 다상테크,김춘기,분석,377949000,77.8,88.111,88.657,0.20958 (100.20958),5 8,2023/05/22 15:43:36,
103,2118877373,스마트쿱 주식회사,이역수,분석,377961920,77.8,88.114,88.66,0.21304 (100.21304),14 5,2023/05/22 15:37:36,
104,5908102247,주식회사 넥스톤,이용택,분석,377969300,77.6,88.116,88.662,0.21501 (100.21501),2 5,2023/05/23 08:30:53,
105,1018116968,(주)넥슨정보통신,신양인,분석,377970373,77.6,88.117,88.662,0.21530 (100.2153),1 11,2023/05/22 09:12:40,
106,1068606683,로버무트 주식회사,송태하,분석,377985709,77.6,88.12,88.666,0.21940 (100.2194),9 8,2023/05/19 12:00:25,
107,6078616291,케이시스 주식회사,김중섭,분석,378000000,77.6,88.124,88.669,0.22322 (100.22322),6 4,2023/05/18 09:52:22,
108,2048610496,주식회사 김스애드,김진희,분석,378021992,77.4,88.129,88.674,0.22910 (100.2291),13 12,2023/05/19 09:14:52,
109,1078640952,(주)바비젼,이주일,분석,378023860,77.4,88.13,88.675,0.22959 (100.22959),11 2,2023/05/19 13:05:53,
110,2048620636,(주)유시스,이경재,분석,378042830,77.2,88.135,88.679,0.23467 (100.23467),10 15,2023/05/18 13:48:47,
111,1108124633,(주)디앤에스테크놀로지,이원우,분석,378048551,77.2,88.136,88.681,0.23620 (100.2362),1 5,2023/05/22 13:15:40,
112,1068616518,(주)애니씨앤에스,이일규,분석,378051300,77.2,88.137,88.681,0.23693 (100.23693),14 10,2023/05/23 09:27:38,
113,1078212647,사단법인 한국장애인정치포럼,배영환,분석,378052200,77.2,88.137,88.682,0.23717 (100.23717),10 5,2023/05/22 15:48:55,
114,4048131290,주식회사 아이앤씨코리아,박규성,분석,378054160,77.2,88.138,88.682,0.23769 (100.23769),6 3,2023/05/22 20:10:11,
115,2158774589,주식회사 스카이코어,최명훈,분석,378083340,77.0,88.145,88.689,0.24550 (100.2455),9 15,2023/05/22 09:46:57,
116,1048157634,쿠도커뮤니케이션(주),김용식,분석,378083712,77.0,88.145,88.689,0.24560 (100.2456),15 6,2023/05/22 10:00:46,
117,1188109975,(주)부광네트워크,박경진,분석,378112300,77.0,88.152,88.696,0.25324 (100.25324),10 9,2023/05/19 13:22:27,
118,2141167760,세기정보통신,송재홍,분석,378114010,77.0,88.152,88.696,0.25370 (100.2537),7 8,2023/05/22 13:09:35,
119,1108604272,소리콤 주식회사,정재홍,분석,378131970,76.8,88.157,88.7,0.25850 (100.2585),9 12,2023/05/21 03:07:31,
120,1318174028,"주식회사 에이치케이 (HK Co., Ltd.)",장해각,분석,378133377,76.8,88.157,88.701,0.25887 (100.25887),11 1,2023/05/22 15:38:34,
121,1178152367,(주)브레인컨설팅,박수영,분석,378143190,76.8,88.16,88.703,0.26150 (100.2615),11 13,2023/05/19 08:37:45,
122,8018600805,세인트로그 주식회사,김세연,분석,378143935,76.8,88.16,88.703,0.26170 (100.2617),9 8,2023/05/21 21:28:57,
123,1198153514,다린전력(주),오승한,분석,378151600,76.8,88.162,88.705,0.26374 (100.26374),10 5,2023/05/22 12:06:10,
124,2178113330,(주)오성에스이엠,오성표,분석,378158150,76.8,88.163,88.706,0.26550 (100.2655),3 14,2023/05/22 11:08:35,
125,2068184529,(주)네오티엔씨,조정현,분석,378159650,76.8,88.164,88.707,0.26590 (100.2659),3 8,2023/05/19 15:19:34,
126,1178164451,(주)지엠디텔레콤,김창윤,분석,378173860,76.6,88.167,88.71,0.26970 (100.2697),11 5,2023/05/19 13:44:43,
127,1058628520,주식회사 파크로,최윤영,분석,378176852,76.6,88.168,88.711,0.27050 (100.2705),6 8,2023/05/23 09:40:05,
128,1018635413,(주)씨유앰앤아이,김정순,분석,378177600,76.6,88.168,88.711,0.27070 (100.2707),15 12,2023/05/22 09:36:50,
129,1198616251,주식회사 누리인프라,정성우,분석,378202000,76.6,88.174,88.717,0.27722 (100.27722),3 15,2023/05/20 01:15:10,
130,7298600518,주식회사 킴스앤,김동선,분석,378204160,76.4,88.175,88.717,0.27780 (100.2778),5 7,2023/05/19 00:04:33,
131,1138148366,주식회사 레이어스,조인선,분석,378204530,76.4,88.175,88.717,0.27789 (100.27789),6 13,2023/05/18 23:26:20,
132,1098195410,(주)신성글로벌네트워크,홍우석,분석,378210143,76.4,88.176,88.719,0.27940 (100.2794),1 5,2023/05/19 15:26:21,
133,1198609084,주식회사 유니씨엔에스,박경임,분석,378216128,76.4,88.178,88.72,0.28100 (100.281),9 4,2023/05/19 09:06:52,
134,2098161262,주식회사 아이에스인텍,황관홍,분석,378226950,76.4,88.181,88.723,0.28389 (100.28389),3 1,2023/05/22 14:24:54,
135,2168701696,주식회사 투비콤,유수정,분석,378233710,76.4,88.182,88.724,0.28570 (100.2857),10 5,2023/05/19 17:49:36,
136,2208165402,서전엔지니어링(주),유경하,분석,378242311,76.2,88.185,88.726,0.28799 (100.28799),14 2,2023/05/18 11:22:52,
137,2178125840,(주)에이디엠,정채옥,분석,378246520,76.2,88.186,88.727,0.28912 (100.28912),1 7,2023/05/22 16:30:24,
138,1068184554,(주)송화전기통신,고진홍,분석,378247920,76.2,88.186,88.727,0.28949 (100.28949),6 8,2023/05/22 09:41:53,
139,1068683638,주식회사 엔씨씨디지탈,이상호,분석,378247923,76.2,88.186,88.727,0.28950 (100.2895),8 14,2023/05/19 08:50:50,
140,2018199051,나루씨앤씨주식회사,이상협,분석,378269992,76.2,88.191,88.733,0.29540 (100.2954),8 13,2023/05/19 14:22:51,
